087005880-0,324041470-8,Climax. The,Horror|Musical,1997
467952395-6,415311799-4,Phantasm,Horror|Sci-Fi,2005
310821300-8,072079995-3,Heaven,Drama,2001
880921303-3,020674798-5,Book of Fate. The (Kohtalon kirja),Action|Horror|Sci-Fi|War|Western,1990
534589821-9,440019264-4,Des gens qui s'embrassent,Comedy|Romance,2000
796668214-5,285112092-1,Mysterious X. The (Sealed Orders) (Det hemmelighedsfulde X),Drama|War,2001
529358472-3,974685773-8,Teenage Caveman,Horror|Sci-Fi|Thriller,1996
696264688-7,197367727-X,Joyless Street. The (Die freudlose Gasse),Drama,1986
923720760-3,275163084-7,Dragonquest,Fantasy,2008
375404468-0,871464503-3,Legally Blonde,Comedy|Romance,2004
535015511-3,544297957-0,I Am Divine,Documentary,1985
198875468-2,873604453-9,Earth to Echo,Adventure|Children|Sci-Fi,2004
397487908-0,224665417-3,Freaky Deaky,Comedy|Crime,1997
380098906-9,264613292-1,Capturing Mary,(no genres listed),1998
002864020-9,668885827-4,Cherry Crush,Drama|Thriller,1994
140484030-3,047739189-3,Wolverine. The,Action|Adventure|Fantasy|Sci-Fi,1984
749494982-8,676742126-X,Red Tails,Action|Adventure|Drama|War,2003
659255836-9,946805289-3,Northanger Abbey,Drama|Romance,2006
799250601-4,685408329-X,Tag: The Assassination Game (a.k.a. Everybody Gets It in the End),Action|Thriller,1995
185332607-0,677853861-9,Lost Boys: The Tribe,Comedy|Horror|Thriller,1975
110432732-5,452884758-2,Riding in Cars with Boys,Comedy|Drama,2004
189242126-7,170581593-6,Kickboxer 3: The Art of War (Kickboxer III: The Art of War),Action|Thriller,2005
509150425-7,177815952-4,Twilight Saga: Breaking Dawn - Part 2. The,Adventure|Drama|Fantasy|Romance|IMAX,1994
765945142-1,930518195-3,Secret Honor,Drama,2011
779481075-2,551515700-1,Murmur of the Heart (Le souffle au coeur),Drama,1998
326882654-7,158173670-3,Saratoga,Comedy|Drama|Romance,1986
229014342-1,334726023-6,Why Do Fools Fall In Love?,Drama,1991
422195261-X,959330955-1,Queen: Days of Our Lives,Documentary,2008
462662812-5,271509180-X,Last Supper. The,Drama|Thriller,2010
620072566-7,013615048-9,Fugly!,Comedy,2006
467181138-3,189245442-4,Santitos,Comedy,1994
305790082-8,874589075-7,Hi-Life,Comedy|Romance,1988
770605993-6,272807626-X,Study in Scarlet. A,Mystery|Thriller,2004
797291623-3,930570682-7,Hope Floats,Comedy|Drama|Romance,1997
616365812-4,995195115-5,Landscape with a Woman (Zena s krajolikom),Drama,1992
679144999-3,572476425-3,Clone (Womb),Drama|Romance|Sci-Fi,1994
808392201-3,725760910-1,Death Before Dishonor,Action|Drama,2012
568230148-X,642783250-6,Casper,Adventure|Children,2008
306940350-6,888046430-2,Sherlock Holmes in Washington,Crime|Mystery,1989
117679330-6,029045512-X,Blood into Wine,Documentary,2009
133954041-X,728118983-4,Ring Finger. The (L'annulaire),Drama,2009
171536210-1,414849597-8,Little Witches,Horror|Thriller,1992
032348146-9,798276353-7,Ping Pong Playa,Comedy,2006
192815110-8,586229760-X,Kairat,Drama,2010
202683972-7,691562767-7,Liberal Arts,Comedy|Drama,2008
365436700-3,569195989-1,From Above,Drama|Romance,1994
120033382-9,647270867-3,Blindman,Western,2009
382431752-4,290430892-X,Babylon 5: A Call to Arms,Adventure|Sci-Fi,2005
962392553-0,024116681-0,Jackal. The,Action|Thriller,2009
085345882-0,978628136-5,In July (Im Juli),Comedy|Romance,2008
169802041-4,864839957-2,Full of It,Comedy|Drama,2007
715260740-0,823913907-8,Expecting a Miracle,Drama,1994
093450990-5,200427593-6,Sunset Limited. The,Drama,1993
919726188-2,977515127-9,Love Exposure (Ai No Mukidashi),Action|Comedy|Drama|Romance,2003
179878605-2,034594406-2,Starship Troopers 2: Hero of the Federation,Action|Horror|Sci-Fi|War,1999
628502040-X,484754076-X,Butterfly (La lengua de las mariposas),Drama,1998
220173696-0,928465218-9,Gun in Betty Lou's Handbag. The,Comedy|Mystery,1997
343714818-4,564342372-3,Fight Club,Action|Crime|Drama|Thriller,2006
667990294-0,058577660-1,District. The (Nyócker!),Animation|Comedy,2008
176868585-1,496973771-1,White of the Eye,Thriller,2010
623686737-2,127554494-0,Sputnik,(no genres listed),1992
661590021-1,555802365-1,Merry Widow. The,Drama|Romance,1994
995392320-5,398103537-2,Eversmile. New Jersey,Comedy|Drama|Romance,1997
350428831-0,096525031-8,Born Free,Adventure|Children|Drama,2004
916901917-7,443252130-9,Suspect. The (Yong-eui-ja),Action|Thriller,2005
323029420-3,179959392-4,Homework,(no genres listed),2005
106199574-7,532298793-2,Life Before Her Eyes. The,Drama|Thriller,1997
463826314-3,885655594-8,Goldfinger,Action|Adventure|Thriller,1998
910268049-1,021617691-3,Inauguration of the Pleasure Dome,Fantasy,2003
864814551-1,727696724-7,20.000 Days on Earth,Documentary|Drama|Musical,1992
865850219-8,374364328-6,Parineeta,Drama|Musical|Romance,1991
762514446-1,697088357-4,Flock of Dodos: The Evolution-Intelligent Design Circus,Documentary,2008
361759195-7,598382676-X,Vice,Crime|Film-Noir|Mystery|Thriller,2002
168422424-1,593684855-8,Gregoire Moulin vs. Humanity (Grégoire Moulin contre l'humanité),Comedy|Romance,1990
489409550-5,723178173-X,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Sci-Fi,2002
232575537-1,438053073-6,Revenge of the Nerds IV: Nerds in Love,Comedy|Romance,2010
768102556-1,550907384-5,Full Moon in Blue Water,Drama,2000
938492792-9,768155357-6,With Great Power: The Stan Lee Story,Documentary,1999
433908809-9,771192329-5,Antichrist,Drama|Fantasy,2011
530180311-5,967761245-X,Doug's 1st Movie,Animation|Children,1993
642929920-1,545570571-7,Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Sûpâ senshi wa nemurenai),Action|Adventure|Animation,1993
687269738-5,350006270-9,Make Way for Tomorrow,Drama,1997
035719288-5,234979784-8,It's All Gone Pete Tong,Comedy|Drama|Musical,1992
409026425-1,628641107-0,Tripping the Rift: The Movie,Animation|Comedy|Sci-Fi,2002
804111299-4,453330191-6,Medora,Documentary,2002
239928022-9,314344093-7,Candles on Bay Street ,Drama,2004
298490741-8,337921060-9,Legend of Sleepy Hollow. The,Comedy|Fantasy|Horror,1992
270508893-8,874317579-1,The Great Kidnapping,Action|Crime|Thriller,1997
628707629-1,861845157-6,Sanshiro Sugata Part Two (Judo Saga II) (Zoku Sugata Sanshirô),Action|Adventure,1992
157919702-7,260272660-5,Murder at the Gallop,Comedy|Crime|Drama|Mystery|Thriller,2005
685695783-1,989235272-6,Live Flesh (Carne trémula),Drama|Romance,1997
800504894-7,962508581-5,Ballad of a Soldier (Ballada o soldate),Drama|Romance|War,1987
622270724-6,050408221-3,K.G. (Karate Girl),Action,1998
786697137-4,716566356-8,World According to Dick Cheney. The ,Documentary,2011
540272844-5,261262046-X,Thrive,Documentary,2009
369932149-5,002651790-6,Adventures of Milo and Otis. The (Koneko monogatari),Adventure|Children|Comedy|Drama,2007
458790678-6,100516689-7,Tinker. Tailor. Soldier. Spy,Drama|Thriller,2012
386607150-7,151404358-0,The Vexxer,Comedy|Crime,2004
787460316-8,394620097-4,Tuskegee Airmen. The,Drama|War,2010
588937514-8,235357986-8,Project X,Comedy,1995
926169603-1,916973098-9,Victim,Horror|Thriller,1990
097112326-8,068510533-4,Babylon 5,Sci-Fi,1998
684236674-7,738252390-X,Twentynine Palms,Drama|Horror,2010
278271469-4,327523732-2,Scenes from the Class Struggle in Beverly Hills,Comedy,2012
884645756-0,467004516-4,Heli,Crime|Drama,1994
237756865-3,735518773-2,Lord of Tears,Drama|Horror,2010
070396134-9,113256514-6,Breach,Drama|Thriller,2006
933061537-6,415210954-8,Splendor,Comedy,2008
090473962-7,480557764-9,13th Letter. The,Film-Noir,2013
274669805-6,900127157-X,Big Mommas: Like Father. Like Son,Comedy,2006
249731133-1,495846962-1,Last Winter (L'hiver dernier),Drama,2010
423520684-2,298784024-1,White Wedding (Noce blanche),Drama|Romance,1997
605396473-5,933887340-4,Bank Dick. The,Comedy,1997
435204423-7,181123186-1,Matrimonial Comedy (Komedia malzenska),Comedy,2003
357762547-3,564758175-7,Story of Mankind. The,Drama|Fantasy,2002
552208000-0,451290912-5,Unforgettable Summer. An (Un été inoubliable),Drama,2004
698807281-0,621072547-3,Masterminds,Action|Comedy|Thriller,2008
663205464-1,427948395-7,A.K.,Documentary,2006
338705823-3,528463380-6,Tarantula,Horror|Sci-Fi,2001
441819195-X,905728927-X,Take a Giant Step,Drama,1993
138557092-X,168045130-8,Push,Sci-Fi|Thriller,2011
317113036-X,342566474-3,Best of Youth. The (La meglio gioventù),Drama,2003
584490443-5,947810383-0,Small Time Crooks,Comedy|Crime,1992
486349570-6,866333487-7,Yongary: Monster from the Deep,Children|Horror|Sci-Fi,1995
921156963-X,234625642-0,Thirteen Ghosts (a.k.a. Thir13en Ghosts),Horror|Thriller,1991
219612323-4,967001071-3,The Divine Move,Action|Crime|Drama,2007
683498910-2,830727125-8,Shadowlands,Drama|Romance,1997
163691762-3,843555988-2,Cabaret Balkan (Bure Baruta),Drama,1992
526654710-3,647751119-3,Police Academy 4: Citizens on Patrol,Comedy|Crime,1994
419074869-2,136175763-9,Color of Friendship. The,Comedy|Drama,1995
089575823-7,123889684-7,'Human' Factor. The (Human Factor. The),Drama|Thriller,1994
353238281-4,405090395-4,Zatoichi's Flashing Sword (Zatôichi abare tako) (Zatôichi 7),Action|Drama,1998
896548506-1,412089128-3,Soap and Water,Comedy,2003
141635086-1,982237892-0,Bug's Life. A,Adventure|Animation|Children|Comedy,1991
330036528-7,092272027-4,Blue,Drama,2012
866952384-1,302118767-6,Beer,Comedy,2001
171122765-X,682231039-8,Clan of the Cave Bear. The,Adventure|Drama|Fantasy,1986
238021163-9,216891111-8,19th Wife. The,Drama,2000
361721851-2,331996234-5,Luke and Lucy: The Texas Rangers (Suske en Wiske: De Texas rakkers),Adventure|Animation|Comedy|Western,2008
215226851-2,839427969-4,Cut and Run (Inferno in diretta),Adventure|Horror|Thriller,1984
503944126-6,626748976-0,Mating of Millie. The,Comedy|Romance,2008
086299404-7,259094141-2,Inspector Palmu's Error (Komisario Palmun erehdys),Comedy|Crime|Mystery|Thriller,2013
098936986-2,509413188-5,Naked Gun: From the Files of Police Squad!. The,Action|Comedy|Crime|Romance,1994
796017148-3,591765038-1,Jönssonligan på Mallorca,Comedy,1993
083053887-9,365224482-6,Mad Dog Time,Crime,2011
439097472-6,277211744-8,Dirty Deeds,Action|Comedy|Crime,1996
142985044-2,993748719-6,Librarian: Return to King Solomon's Mines. The,Action|Adventure|Fantasy,2008
292391652-2,015697183-6,Hellraiser: Hellseeker,Horror,2007
947453322-9,315157792-X,Unrated II: Scary as Hell,Horror,1994
866922683-9,424107149-X,Dragon ball Z 04: Lord Slug,Animation|Children,1970
667438511-5,437939279-1,Where Are My Children?,Drama,1993
695265638-3,436607606-3,Hercules and the Lost Kingdom,Action|Adventure|Fantasy|Sci-Fi,2010
584183632-3,280064850-3,Tucker: The Man and His Dream,Drama,2002
091302727-8,887841793-9,Edward. My Son,Drama,2004
083095556-9,764260209-X,Ice Princess,Children|Comedy|Drama,2010
885709447-2,354666491-4,Grease 2,Comedy|Musical|Romance,2000
790005998-9,954087546-3,Secret of the Grain. The (La graine et le mulet),Drama,1995
574691776-1,955437115-2,Flame and Citron (Flammen & Citronen),Action|Drama|War,2006
967065706-7,135738197-2,Joy Ride,Adventure|Thriller,1998
311912611-X,522368758-2,Goodbye Uncle Tom,Drama,2003
488461981-1,112514230-8,Tyler Perry's Diary of a Mad Black Woman,Comedy|Drama|Romance,2009
713132639-9,141401086-9,Camera Buff (Amator),Drama,1968
533137236-8,842333525-9,Montana Sky,Drama|Romance|Thriller,2005
964031236-3,534716242-2,The Great Spy Chase,Action|Comedy|Thriller,1989
081704559-7,336554174-8,Good Student. The (Mr. Gibb),Comedy,2006
842854134-5,924494829-X,Northern Soul,Drama,1998
480729560-8,784790263-X,Randy Rides Alone,Western,2008
285311431-7,613794969-9,Purpose,Drama,2012
186150589-2,455013909-9,Deux mondes. Les,Comedy|Fantasy,1997
122245922-1,030004011-3,Soldier's Sweetheart. A,Drama|War,1996
446026448-X,233331662-4,Phantom Lady,Crime|Film-Noir|Mystery,1995
956503216-8,663911756-8,13 Assassins (Jûsan-nin no shikaku),Action,2012
261940605-6,635457944-X,Rapture. The,Drama|Mystery,2006
856269793-1,979928957-2,Blood Wedding (Bodas de sangre),Drama|Musical|Romance,2002
481016276-1,339316882-7,Basketball Diaries. The,Drama,2005
163526365-4,415341340-2,Trust,Comedy|Drama|Romance,2009
529124071-7,248993167-9,Plan 9 from Outer Space,Horror|Sci-Fi,1984
451488904-0,376242126-9,Spencer's Mountain,Comedy|Drama,1997
388918313-1,262780849-4,Merry Christmas Mr. Lawrence,Drama|War,2010
040879407-0,556789682-4,Ghost Breakers. The,Comedy|Horror,2000
147150110-8,899152075-8,Vanishing on 7th Street,Horror|Mystery|Thriller,2006
942686605-1,333369696-7,Kung Fu Hustle (Gong fu),Action|Comedy,2008
142515306-2,118574387-1,Jiro Dreams of Sushi,Documentary,2012
167958924-5,891307739-6,Crows Zero (Kurôzu zero),Action,1993
387129856-5,897553622-X,Satan Never Sleeps,Drama|War,1998
904194199-1,833204932-6,Rapado,Drama,1997
148829082-2,903811273-4,I Feel Sleepy,Comedy,2011
132959348-0,983063108-7,Off and Running ,Documentary,1994
581553430-7,014381026-X,Dear Brigitte,Comedy,2002
819012074-3,771293134-8,Art of Getting By. The,Drama|Romance,2006
384041661-2,697826627-2,Charlie Chan in Reno,Comedy|Crime|Drama|Mystery|Thriller,1995
421409464-6,928988585-8,The Butterfly Effect 3: Revelations,Drama|Fantasy|Sci-Fi|Thriller,1991
011979331-8,859434875-4,Herr Lehmann,Comedy|Drama,2000
749511541-6,279756314-X,Brandon Teena Story. The,Documentary,1993
429434634-5,361356442-4,Kiss Kiss - Bang Bang,Adventure|Comedy,2012
907788611-7,312965036-9,Anazapta (Black Plague),Drama|Mystery|Thriller,1992
798286772-3,239588112-0,Final Conflict. The (a.k.a. Omen III: The Final Conflict),Horror|Thriller,2011
122929906-8,986222687-0,Love Song for Bobby Long. A,Drama,1998
467467441-7,744837692-6,Baby On Board,Comedy,2008
683602437-6,715911224-5,Second Man. The (O Defteros Andras),Drama,2008
097659787-X,364686149-5,Coronado,Action|Adventure|War,2009
819767963-0,192781444-8,We All Loved Each Other So Much (C'eravamo tanto amati),Comedy|Drama,2011
162158971-4,131174843-1,Things You Can Tell Just by Looking at Her,Drama|Romance,1985
685106131-7,402352923-0,Heidi,Children|Drama,2012
448337888-0,648117347-7,Tinseltown,Comedy|Crime|Drama,2008
401383858-3,456551963-1,Dating the Enemy,Comedy|Romance,2000
494394222-9,426267421-5,Football Factory. The,Action|Drama,2003
365206371-6,557421855-0,Princess Blade. The (Shura Yukihime),Action|Sci-Fi,1987
548620820-0,528712689-1,Polisse,Crime|Drama,2002
684602815-3,277530211-4,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime),Action|Adventure|Animation|Children,2012
325121700-3,122784676-2,Poor White Trash,Comedy|Crime,2012
233949841-4,074255729-4,Midnight Movies: From the Margin to the Mainstream,Documentary,1997
951082498-4,060174518-3,Under the Volcano,Drama,2010
258725345-4,604616428-1,Tin Toy,Animation|Children,1993
152629495-8,123313651-8,Wing and the Thigh. The (L'aile ou la cuisse),Comedy,2011
953393296-1,494080409-7,Shrink Is In. The,Comedy|Romance,2011
406061676-1,024368705-2,Flame and the Arrow. The,Action|Adventure|Romance,1993
415302176-8,163094521-8,Long Walk Home. The,Drama,1986
359353198-4,512333065-8,WarGames,Drama|Sci-Fi|Thriller,2003
721222249-6,585941606-7,Pinochet Case. The (Cas Pinochet. Le),Documentary,1993
142535809-8,974642058-5,In the House,Comedy|Drama|Mystery|Thriller,2001
713901279-2,573731134-1,Island of Dr. Moreau. The,Adventure|Fantasy|Horror|Romance|Sci-Fi|Thriller,2008
149808174-6,536568110-X,Speedway Junky,Drama,2002
132028162-1,072842562-9,Rising Place. The,Drama,1997
079425598-1,339150310-6,My Name Is Joe,Drama|Romance,2011
000835640-8,660472129-9,Portraits Chinois,Drama,1987
924733147-1,103608054-4,Somewhere in the City,Comedy|Drama,2000
324042044-9,789333972-1,Debt. The,Thriller,2003
500472725-2,693479716-7,Shepard & Dark,Documentary,1992
148398470-2,663262542-8,Waltz with Bashir (Vals im Bashir),Animation|Documentary|Drama|War,2011
711019167-2,936004367-2,Back in Business,Action|Adventure,2003
833102809-0,668180041-6,Wisdom,Crime|Drama,2006
472484365-9,801343771-X,Frankenstein Unbound,Drama|Horror|Sci-Fi,1996
124054611-4,940632965-4,Feet First,Comedy,1986
852829245-2,881364322-5,Last Holiday,Comedy,1994
295183604-X,539422563-X,Snow (Snijeg),Drama,2013
654058195-5,610963828-5,Old Man Made in Spain (Abuelo made in Spain),Comedy,1995
292748941-6,042257772-3,Animal Room,Drama|Thriller,2005
160760599-6,542151920-1,Breaking Up,Comedy|Romance,2010
082600438-5,152415182-3,Kokowääh,Comedy,2011
329972218-2,874613666-5,Oh. Sun (Soleil O),Drama,2007
575984281-1,402347001-5,Imaginary Heroes,Comedy|Drama,1998
765433340-4,182598032-2,Late Autumn (Akibiyori),Comedy|Drama,1992
093424671-8,046864118-1,Jean de Florette,Drama|Mystery,1999
216518897-0,596168532-2,Prodigal Son. The (Tuhlaajapoika),Thriller,2007
468584312-6,039010942-8,Amazon Jack 2: The Movie Star (a.k.a. Hugo the Movie Star) (Jungledyret 2 - den store filmhelt),Animation|Children|Musical|Romance,2002
421202434-9,488934976-6,Oyster Farmer,Drama,2006
552946403-3,898934853-6,Serial Mom,Comedy|Crime|Horror,1968
990659196-X,453805505-0,Life as a House,Drama,1996
554165617-6,377124769-1,Runaways. The,Drama|Musical,2007
088980873-2,207210530-7,Better Things,Drama,2005
043399806-7,798005525-X,Maternal Halfbrothers (Braca po materi),Drama,2008
305314361-5,943814315-7,Boy of the Streets,Drama,2011
188216006-1,317670162-4,Volcano (Eldfjall),Drama,1995
756656582-6,077284756-8,Light Is Calling,(no genres listed),1991
283141744-9,455499686-7,American Beauty,Comedy|Drama,2004
846863169-8,387346945-6,Beyond Tomorrow (Beyond Christmas),Drama|Fantasy|Romance,1996
358494437-6,520001853-6,Descendant of the Sun (Ri jie),Action|Adventure|Fantasy|Sci-Fi,1992
658104547-0,067887431-X,How About You...,Comedy|Drama,1995
886855993-5,594938756-2,Kiss Me (Kyss Mig),Drama|Romance,1986
334307301-6,603990975-7,They All Laughed,Comedy,1985
847727440-1,177260210-8,Robocroc,Action|Horror,2008
918271346-4,049285425-4,See You Tomorrow. Everyone,Drama,1992
908267668-0,763301204-8,Whole Ten Yards. The,Action|Comedy|Crime,1998
378935621-2,605387427-2,Shadow Warriors 2 (Assault on Devil's Island),Action|Adventure|Thriller,1992
872434829-5,294536082-9,Clockers,Crime|Drama|Mystery,2009
927299829-8,837373713-8,Jupiter Ascending,Action|Adventure|Sci-Fi,1971
975013014-6,797207325-2,Fort Bliss,Drama|War,1998
237178357-9,350374214-X,To Be or Not to Be,Comedy|Drama|War,2009
062402516-0,509820485-2,Overboard,Comedy|Romance,2008
328482722-6,596829713-1,Gung Ho! (Gung Ho!: The Story of Carlson's Makin Island Raiders),Drama|War,2004
438522916-3,373038376-0,American Strays,Action,2003
356187957-8,051616647-6,Bill Hicks: Relentless,Comedy,2001
849583783-8,550813029-2,Valiant,Adventure|Animation|Children|Comedy|Fantasy|War,2005
768905319-X,409071932-1,Herbie Goes Bananas,Adventure|Children|Comedy,2010
744800545-6,138504703-8,Good Man. A (Un buen hombre),Crime|Drama,1987
288349095-3,236830220-4,My Son (Mon fils à moi),Drama,2012
476056249-4,086728476-5,Forget Me Not,Romance,2001
029475717-1,277320132-9,Strange Case of Angelica. The (O Estranho Caso de Angélica),Drama,2003
969399500-7,519701281-1,Where the Heart Is,Comedy|Drama,1998
206589019-3,877878675-4,Broken Lullaby (a.k.a. The Man I Killed),Drama,1988
630348971-0,792891198-1,The Little Matchgirl,Animation,1998
117375369-9,509993745-4,Faculty. The,Horror|Sci-Fi,2012
708728076-7,732376373-8,Cannery Row,Drama,2006
546499292-8,169813525-4,Notre jour viendra,Drama,2006
190679233-X,627917992-3,Rocketship X-M,Sci-Fi,2009
055861348-9,058985989-7,Anger Management,Comedy,1969
349836509-6,301115030-3,Lisztomania,Comedy|Fantasy|Musical,2007
355466820-6,261763373-X,Dreams That Money Can Buy,Fantasy,2013
493307610-3,473961917-2,Avenging Conscience. The,Drama|Horror,2013
180864664-9,401715593-6,Nightmare City (a.k.a. City of the Walking Dead) (a.k.a. Invasión de los zombies atómicos. La) (Incubo sulla città contaminata),Action|Horror,2009
720515307-7,738593540-0,Big Mommas: Like Father. Like Son,Comedy,2004
567258808-5,085919388-8,Children of the Night,Horror,1992
391897044-2,107062349-0,Chameleon (Kaméleon),Comedy|Drama|Thriller,2002
909416691-7,264817895-3,Hero (Ying xiong),Action|Adventure|Drama,2000
538251014-8,575390807-1,Adventures of Tom Sawyer. The,Adventure,2004
144265760-X,090924037-X,What Fault Is It of Ours?,Comedy,2002
866458165-7,689290074-7,Daniel Deronda,Drama|Romance,1992
249864376-1,224283008-2,Mina Tannenbaum,Drama,2008
497387129-X,527857045-8,Letter to Three Wives. A,Comedy|Drama,2004
946581415-6,649483752-2,Lock Up,Action|Adventure|Crime|Drama|Thriller,1998
850019196-1,418210259-2,Short Circuit 2,Comedy|Sci-Fi,1992
658541854-9,582785486-7,The Great Northfield Minnesota Raid,Action|Western,1996
600686562-9,588503404-4,Saratoga Trunk,Drama|Romance,2006
668656420-6,371753515-3,Claymation Comedy of Horrors,Animation,2000
594416088-8,671742041-3,Document of the Dead,Documentary|Horror,2009
126500406-4,186980076-1,Futureworld,Sci-Fi|Thriller,2010
581146194-1,512903469-4,Under Siege,Action|Drama|Thriller,2009
938861774-6,537173864-9,Doc Hollywood,Comedy|Romance,2006
105204872-2,656720886-4,Ballad of a Soldier (Ballada o soldate),Drama|Romance|War,2003
322794047-7,325440218-9,Adventures of Tom Sawyer. The,Adventure,1998
470024258-2,711301930-7,Super Capers,Action|Adventure|Comedy|Fantasy|Sci-Fi,1998
165712474-6,762161897-3,Darkman II: Return of Durant. The,Action|Crime|Horror,2009
380686131-5,181918523-0,We're No Angels,Comedy|Crime|Drama,1998
230879397-X,554146496-X,Waking Up in Reno,Comedy|Romance,2009
976579364-2,951548006-X,Damien: Omen II,Horror,1993
677227022-3,747789385-2,North and South. Book II,Drama|Romance|War,2002
211342195-X,220738025-4,Love's Deadly Triangle: The Texas Cadet Murder,Drama,2003
534236876-6,053938126-8,Reality,Comedy,1984
030883519-0,396604701-2,Bluebeard (Landru),Drama,2012
887121675-X,946463242-9,Soldier. The,Action,1969
070268954-8,826062270-X,Thr3e (Three),Drama|Horror|Mystery|Thriller,1995
802121434-1,735467108-8,Sentimental Swordsman. The (To ching chien ko wu ching chien),Action|Adventure,2011
653934283-7,052222020-7,Paris. France,Comedy,1998
935136374-0,451348107-2,Tom and Huck,Adventure|Children,1993
695123092-7,398543719-X,Boiling Point (3-4 x jûgatsu),Action|Comedy|Crime,1992
948789039-4,585245313-7,Made,Comedy,2006
467462234-4,065859327-7,The Possession of Michael King,Horror,2011
014359178-9,071707449-8,Tyler Perry's A Madea Christmas,Comedy,1985
400042350-9,238501460-2,From Hell,Crime|Horror|Mystery|Thriller,1988
876674964-6,054692964-8,Dragonheart 3: The Sorcerer's Curse,Action|Adventure|Fantasy,2007
331849629-4,917407541-1,Siblings,Comedy,1992
506981267-X,983448926-9,King of Marvin Gardens. The,Crime|Drama,1992
885774656-9,955075796-X,Dakota Skye,Drama|Romance,2012
652429483-1,169379579-5,Innkeepers. The,Horror|Thriller,2008
602797472-9,890358344-2,Smashing Pumpkins: Vieuphoria,Documentary|Musical,2009
409708369-4,651191429-1,Ratko: The Dictator's Son (National Lampoon's Ratko: The Dictator's Son),Comedy,1995
379783256-7,640153197-5,Chance Pe Dance,Comedy|Drama|Romance,1993
718581476-6,441212319-7,Homeward Bound II: Lost in San Francisco,Adventure|Children,2007
280923322-5,535475357-0,Coriolanus,Drama|Thriller,2004
905745721-0,428489740-3,Becky Sharp,Drama|Romance|War,1964
453255002-5,751137347-X,Killer McCoy,Drama,2001
788001286-9,086610193-4,Young Winston,Adventure|Drama|War,1996
881863287-6,431486626-8,Lilla Jönssonligan och Cornflakeskuppen,Children|Comedy,2011
834343319-X,714382551-4,Tim and Eric's Billion Dollar Movie,Comedy,1985
151586956-3,658898248-8,Life During Wartime,Comedy|Drama,1995
465317534-9,953218988-2,Way of the Gun. The,Crime|Thriller,1989
846324774-1,372013370-2,My Gun is Quick,Mystery,1990
489602637-3,932601002-3,Rutles: All You Need Is Cash. The,Comedy,2009
159660707-6,099341987-9,Out California Way,Western,2003
975114075-7,449941257-9,Far from the Madding Crowd,Drama|Romance,1999
269535053-8,927644719-9,Mabel at the Wheel,Comedy,2006
675347739-X,571033728-5,Foxfire,Drama,2007
031102192-1,605964697-2,Last Castle. The,Action,2010
152199859-0,739366290-6,Lucky Break (a.k.a. Paperback Romance),Comedy|Romance,2012
326352518-2,902113220-6,Gentlemen Don't Eat Poets (Grotesque. The),Comedy|Drama|Horror,2004
687901542-5,178156834-0,Trouble at Timpetill (Enfants de Timpelbach. Les),Adventure|Children|Fantasy,2008
205680474-3,281230270-4,Just Go with It,Comedy|Romance,2001
033872437-0,884164675-6,Small Town Girl,Musical|Romance,2005
976685554-4,224699296-6,End of St. Petersburg. The (Konets Sankt-Peterburga),Drama,1993
947902530-2,060646056-X,Emperor Jones. The,Drama,2001
755420182-4,378209368-2,Lake of Fire,Documentary,2010
327196239-1,326777321-0,Days of Heaven,Drama,1992
946437304-0,356691424-X,I'm Gonna Explode (a.k.a. I'm Going to Explode) (Voy a explotar),Drama,1998
252031719-1,122694836-7,Lovers & Leavers (Kuutamolla),Drama|Romance,1998
845259905-6,051831167-8,Air Bud: Golden Receiver,Children|Comedy,2006
679222350-6,089225009-7,Kisses (Kuchizuke),Drama|Romance,1992
113624482-4,534892810-0,Invisible Woman. The,Drama|Romance,1989
216105732-4,587117850-2,Italian for Beginners (Italiensk for begyndere),Comedy|Drama|Romance,2011
732205930-1,147589993-9,Tracy Morgan: Black and Blue,Comedy,1999
802726560-6,475642139-3,Mahjong (Ma jiang),Comedy|Drama,1990
726265990-1,339063701-X,Suburbia,Drama,2000
406415484-3,503458371-2,Cow. The (Gaav),Drama,2007
825101157-4,872057734-6,Carol for Another Christmas,Drama|Fantasy|War,2002
202696596-X,803399617-X,Yanks,Drama|Romance|War,1997
694702826-4,220662579-2,Dirty Love,Comedy|Romance,2003
242957347-4,493808807-X,No Where No One (Hich Koja Hich Kas),Drama|Romance,1986
100328284-9,390266341-3,Rabbit Hole,Drama,2004
902099948-6,693713803-2,Decoder,Horror|Mystery|Sci-Fi,1999
640284963-4,147127682-1,Reluctant Dragon. The,Animation|Comedy,1987
587370942-4,036921776-4,Eagle Has Landed. The,Drama|War,2007
223026795-7,557766114-5,Space Is The Place,Sci-Fi,2008
899560690-8,192400904-8,Deadly Voyage,Drama|Thriller,2001
583859738-0,059227015-7,Miranda,Romance|Thriller,1991
379550882-7,960467239-8,Shark Night 3D,Horror|Thriller,1997
314425076-7,252394428-6,Manrape (Män kan inte våldtas) ,Drama,1986
884769574-0,455269347-6,Female Convict Scorpion: Jailhouse 41 (Joshuu sasori: Dai-41 zakkyo-bô),Crime|Drama|Thriller,1993
817427122-8,964718712-2,Skin. Skin (Käpy selän alla),Drama,1995
